,"NEIGHBORHOOD
","BUILDING CLASS CATEGORY
","BUILDING CLASS AT PRESENT
","LAND SQUARE FEET
","BLOCK
","LOT
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
",Predicted Values,Original Values
14568,26,45,97,0,1006,1303,0,0,1,0,0,1963,-2042616.2668924662,39374
20700,36,9,15,0,1123,18,0,0,0,0,0,1900,-363998.6882592407,0
17004,33,10,16,0,1391,31,0,0,0,0,0,1949,-396192.8766721883,1600000
6702,15,9,9,0,2084,16,0,0,0,0,0,1900,788629.000437886,107800
9599,25,13,13,0,1344,1322,1,0,1,0,0,2007,1520958.9044913505,2171273
545,2,10,13,0,798,26,0,0,0,0,0,1909,964877.8114524065,1300000
19237,32,10,12,0,1453,1,0,0,0,0,0,1963,-127516.38185754837,675000
3029,9,13,11,0,856,1290,1,0,1,0,0,1900,2276818.500805449,1900000
7795,21,10,16,0,331,1,0,0,0,0,0,1929,38997.52654651133,975000
600,2,13,18,0,699,1259,1,0,1,0,0,2009,1951079.6815659297,1765000
5563,13,10,10,0,1829,33,0,0,0,0,0,1925,749923.1249296782,380000
15647,32,13,15,0,1438,903,1,0,1,0,0,0,1853841.8007795508,0
11386,26,45,102,0,1006,1302,0,0,1,0,0,1963,-2388562.0209929883,78305
13538,26,45,71,0,1006,1302,0,0,1,0,0,0,921232.8443033337,18850
2349,7,43,49,0,809,1008,0,0,1,0,0,1960,1733603.742104325,7736303
3287,10,10,10,0,875,47,0,0,0,0,0,1956,875794.2913878453,865000
9043,25,13,15,0,1341,1535,1,0,1,0,0,1984,1636614.6957475203,950000
5539,13,7,4,2498,1756,8,20,0,20,2498,10070,1926,6461680.621317415,9760852
17,1,7,5,4452,398,53,36,3,39,4452,17664,1900,11067586.621317415,0
24934,39,10,11,0,2180,633,0,0,0,0,0,1951,391239.7634982229,558388
8506,24,43,49,0,1296,1106,0,0,1,0,0,1955,1220614.0822378923,0
20551,33,13,13,0,1539,1468,1,0,1,0,0,1986,1403841.806199117,976594
18473,33,14,19,1575,1452,104,6,1,7,1575,5600,1910,1411046.621317415,7291250
7305,19,13,18,0,943,1388,1,0,1,0,0,0,2674442.1182644772,0
12485,32,10,8,0,1451,23,0,0,0,0,0,1963,173148.3565744399,0
14348,26,45,97,0,1006,1303,0,0,1,0,0,1963,-2042616.2668924662,45000
7436,19,13,18,0,968,1229,1,0,1,0,0,1984,1310474.6665235623,1150000
11715,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,42400
11834,26,26,43,7532,1009,37,0,2,2,7532,112850,2007,20414151.621317416,0
11257,26,45,102,0,1006,1302,0,0,1,0,0,1963,-2388562.0209929883,44612
20526,33,7,4,2554,1580,46,10,0,10,2554,8065,1910,3823818.621317415,4300000
20588,37,10,10,0,1895,69,0,0,0,0,0,1905,-68843.11476520402,158493
6888,17,10,11,0,2238,1,0,0,0,0,0,1952,475313.7713583377,552000
1617,4,46,25,0,173,1323,0,0,1,0,0,1920,3733952.655274131,0
24058,35,13,16,0,1171,4386,1,0,1,0,0,2008,4404011.997927116,3312312
6719,14,47,45,0,1644,1001,0,0,1,0,0,2007,1495373.2012381856,13400000
15253,32,10,10,0,1471,45,0,0,0,0,0,1964,58973.55724901939,900000
8283,24,13,11,0,1326,1083,1,0,1,0,0,2006,1427042.7650029198,2715000
2561,8,13,16,0,27,1003,1,0,1,0,0,0,2796724.482286804,1100000
4501,11,13,13,0,558,1223,1,0,1,0,0,0,3131486.7780972957,1800000
20729,36,9,15,0,1150,108,0,0,0,0,0,1900,-263241.64671742264,2150000
17085,32,10,11,0,1381,38,0,0,0,0,0,1962,-14800.926256969571,3100000
20019,34,13,18,0,1497,1109,1,0,1,0,0,1928,654125.6428488647,0
23802,38,13,18,0,1889,1102,1,0,1,0,0,0,1644114.0253823162,1773900
21170,33,10,12,0,1525,13,0,0,0,0,0,1930,-132050.92953326693,545000
1724,5,10,12,0,1067,26,0,0,0,0,0,1900,924875.5123588848,250000
12963,32,13,11,0,1420,1489,1,0,1,0,0,1951,1625030.6065621166,4210000
8416,24,13,18,0,1310,1051,1,0,1,0,0,1956,938453.4699249887,895000
3832,10,10,12,0,906,1,0,0,0,0,0,1965,680061.4539171886,659000
6249,19,13,11,0,928,1654,1,0,1,0,0,2002,2261765.1149649476,1059184
11012,26,26,48,7532,1009,37,0,2,2,7532,112850,2007,20070087.621317416,116805
19450,33,10,11,0,1497,5,0,0,0,0,0,1913,-61360.51380235376,795000
14411,26,45,79,0,1027,1291,0,0,1,0,0,0,356699.6249507549,0
210,2,9,15,0,720,67,0,0,0,0,0,1900,931863.893323577,2160000
15908,29,10,11,0,482,41,0,0,0,0,0,1900,153061.29653233243,7200000
13531,26,45,79,0,1006,1302,0,0,1,0,0,1963,-802390.1209344282,5000
17374,29,15,19,0,499,1602,1,0,1,0,0,1900,1255390.874774991,4480300
3628,11,10,7,0,532,20,0,0,0,0,0,1930,1038717.6547477958,995000
12171,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,0
2055,6,10,12,0,467,22,0,0,0,0,0,1928,879918.592050063,346000
2891,8,13,16,0,78,1515,1,0,1,0,0,1910,2231788.671339758,0
5102,13,13,9,0,1756,1105,0,0,0,0,0,0,3021190.064011111,566147
3336,9,13,16,0,856,1324,1,0,1,0,0,1912,1963110.9006471937,0
17767,33,10,16,0,1473,18,0,0,0,0,0,1956,-416716.15487605287,650000
16532,35,17,17,0,1115,1506,0,0,0,0,0,0,1929871.0281068084,760000
2837,9,10,11,0,817,29,0,0,0,0,0,1964,819243.3751015277,942500
3986,10,13,18,0,879,1034,1,0,1,0,0,2004,1407060.4086418585,645000
24668,39,9,9,0,2176,150,0,0,0,0,0,1909,62333.852710610256,347000
7286,19,13,16,0,928,1583,1,0,1,0,0,2008,1833433.0529798907,2200000
11213,31,13,11,0,16,9099,1,0,1,0,0,0,11422440.462507097,4024250
4193,12,9,6,0,615,67,0,0,0,0,0,1946,1164825.4218191048,475000
16931,33,10,10,0,1566,28,0,0,0,0,0,1920,27879.10295306146,200000
15785,28,17,17,0,916,1002,0,0,0,0,0,1960,450216.6523536113,275000
3849,10,10,11,0,907,56,0,0,0,0,0,1965,810922.2762422017,449000
4008,11,17,17,0,535,1002,0,0,0,0,0,1900,1110127.8993545962,1125000
13663,26,45,97,0,1006,1303,0,0,1,0,0,1963,-2042616.2668924662,45000
19360,33,9,9,0,1562,10,0,0,0,0,0,1910,134390.9560294249,285000
8026,24,10,8,0,1367,1,0,0,0,0,0,1969,436502.9944491307,1075000
23464,35,13,16,0,1132,1133,1,0,1,0,0,1987,755213.141556202,1950000
4533,12,1,27,1500,615,6,1,0,1,1500,3372,1915,918943.621317415,0
16901,28,13,16,0,868,1604,1,0,1,0,0,0,2730904.0447287397,2050000
23521,38,10,16,0,1879,62,0,0,0,0,0,1930,-541343.1217644005,570000
22692,37,10,16,0,1210,19,0,0,0,0,0,1926,-537174.869906602,730000
18096,33,13,18,0,1419,1618,1,0,1,0,0,0,2416031.459213386,1625000
21074,36,10,16,0,1150,37,0,0,0,0,0,1925,-478819.1731481841,3825000
20766,38,8,34,10365,2122,84,56,6,62,10365,50932,1910,17723658.621317416,18876000
4425,11,10,12,0,573,43,0,0,0,0,0,1926,721323.9242664599,360000
21928,33,13,16,0,1526,1028,1,0,1,0,0,0,1887521.4249246796,1700000
21950,33,13,16,0,1527,1134,1,0,1,0,0,0,2006832.8187679914,585000
20591,33,9,11,0,1535,6,0,0,0,0,0,1920,-13447.355706547853,250000
16509,33,10,10,0,1507,45,0,0,0,0,0,1929,42874.07682511117,995000
17701,33,17,19,0,1516,1102,0,0,0,0,0,0,1401259.441243298,2500000
22622,35,17,17,0,1170,1010,0,0,0,0,0,1975,191264.80838080868,400000
17776,31,13,16,0,16,5759,1,0,1,0,0,1985,6132484.222314261,2525000
6190,13,15,19,0,1912,1105,1,0,1,0,0,1910,1240363.6366655272,544254
1350,4,13,11,0,176,1119,1,0,1,0,0,2007,2215826.141727919,7916446
18806,35,13,15,0,1171,1040,1,0,1,0,0,0,1904906.0767010697,2700000
3057,9,10,12,0,817,29,0,0,0,0,0,1964,750279.3794468078,521500
